TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
random,0.2022524029016494,0.3398947119712829,0.7985826730728149,boston,random,True,False,False
1,0.1947976499795913,0.3228850960731506,0.7773811221122742,chicago,3,False,False,False
2,0.179578810930252,0.3062313199043274,0.8211147785186768,chicago,3,False,False,False
4,0.19732066988945,0.3146606385707855,0.8151679635047913,chicago,3,False,False,False
2,0.2021424621343612,0.33551225066185,0.7878130674362183,london,1,False,False,False
3,0.2286411076784134,0.3558529019355774,0.7776820659637451,london,1,False,False,False
4,0.231567695736885,0.3591101169586181,0.7755013108253479,london,1,False,False,False
1,0.753058671951294,0.6764422655105591,0.2535276710987091,hongkong,4,False,True,True
2,0.746618926525116,0.6732955574989319,0.2471876144409179,hongkong,4,False,True,True
3,0.7695140242576599,0.6810927391052246,0.2312360852956771,hongkong,4,False,True,True
2,0.1990095824003219,0.3300457000732422,0.7913813591003418,london,1,True,False,False
3,0.2276855856180191,0.3518345355987549,0.7785826325416565,london,1,True,False,False
4,0.2329152524471283,0.356928676366806,0.7737805843353271,london,1,True,False,False
1,0.46236053109169,0.5147684812545776,0.4861852824687958,london,4,False,True,True
2,0.5198333859443665,0.5549256801605225,0.4479025602340698,london,4,False,True,True
3,0.6067426800727844,0.5969840884208679,0.4100286066532135,london,4,False,True,True
2,0.7251699566841125,0.6761205196380615,0.2749288380146026,chicago,1,True,True,False
3,0.7637599110603333,0.6941364407539368,0.2331804633140564,chicago,1,True,True,False
4,0.9911761283874512,0.786972165107727,0.0851098299026489,chicago,1,True,True,False
random,1.0359930992126465,0.8389164805412292,-0.032009158283472,boston,random,True,True,False
random,0.1923331618309021,0.3249039053916931,0.8102321028709412,london,random,False,False,True
2,0.4955591261386871,0.5142612457275391,0.4744150936603546,london,1,False,True,True
3,0.6285706758499146,0.580574631690979,0.3888043165206909,london,1,False,True,True
4,0.7019326686859131,0.6128565073013306,0.3297793269157409,london,1,False,True,True
1,0.20197294652462,0.3318421244621277,0.7781839370727539,saopaulo,2,True,False,True
3,0.2137438654899597,0.3452847898006439,0.7790806889533997,saopaulo,2,True,False,True
4,0.2194417715072631,0.3504912555217743,0.7576760649681091,saopaulo,2,True,False,True
1,0.2029227316379547,0.331156313419342,0.7788436412811279,london,4,False,False,False
2,0.2023497372865677,0.3354395925998688,0.7876026630401611,london,4,False,False,False
3,0.221495896577835,0.3471079766750335,0.7846534848213196,london,4,False,False,False
2,1.2758066654205322,0.9163496494293212,-0.2615910768508911,boston,1,True,True,False
3,1.3510750532150269,0.9518165588378906,-0.333645612001419,boston,1,True,True,False
4,1.508017659187317,1.0093897581100464,-0.5202512741088867,boston,1,True,True,False
1,0.2073026597499847,0.3354114592075348,0.771925687789917,saopaulo,3,False,False,True
2,0.2119760513305664,0.3397925198078155,0.7733092904090881,saopaulo,3,False,False,True
4,0.2189968824386596,0.3451486527919769,0.7584434747695923,saopaulo,3,False,False,True
1,0.2478128224611282,0.3757407069206238,0.7360564470291138,boston,3,False,False,False
2,0.2225009202957153,0.3493650555610657,0.7802178859710693,boston,3,False,False,False
4,0.2482379972934723,0.3680185973644256,0.7494719624519348,boston,3,False,False,False
1,0.1883180141448974,0.3207779228687286,0.7945297956466675,london,3,False,False,False
2,0.1950427293777465,0.3314105868339538,0.7952905893325806,london,3,False,False,False
4,0.2169891893863678,0.3466326594352722,0.7894837856292725,london,3,False,False,False
2,1.0174646377563477,0.8599376678466797,-0.0059965914115309,boston,1,True,True,True
3,1.0224400758743286,0.861720860004425,-0.0084285736083984,boston,1,True,True,True
4,1.033779501914978,0.865750789642334,-0.0402720384299755,boston,1,True,True,True
random,0.9954060316085817,0.8224684000015259,-0.0003856619296129,saopaulo,random,True,True,True
1,0.2298056632280349,0.3590242862701416,0.7547018527984619,boston,2,False,False,False
3,0.2579087018966675,0.3757213950157165,0.7457335591316223,boston,2,False,False,False
4,0.2630650103092193,0.3775248527526855,0.734662652015686,boston,2,False,False,False
1,0.6644966006278992,0.6206485033035278,0.2594235241413116,saopaulo,3,False,True,False
2,0.6729306578636169,0.6231268644332886,0.2787941694259643,saopaulo,3,False,True,False
4,0.5789738893508911,0.5742533206939697,0.3586167097091675,saopaulo,3,False,True,False
2,0.2442785948514938,0.3666077256202698,0.7584818601608276,boston,1,False,False,False
3,0.2826687097549438,0.3935081660747528,0.7212412357330322,boston,1,False,False,False
4,0.3074276745319366,0.4055864214897156,0.6901229619979858,boston,1,False,False,False
random,0.5359955430030823,0.5639534592628479,0.4613853096961975,saopaulo,random,False,True,True
1,0.2129021137952804,0.3425219058990478,0.7667111158370972,saopaulo,3,True,False,False
2,0.2180771678686142,0.3471722900867462,0.7674329876899719,saopaulo,3,True,False,False
4,0.2174161821603775,0.3511425256729126,0.7597354054450989,saopaulo,3,True,False,False
1,0.1712877601385116,0.30125892162323,0.8056989312171936,chicago,3,True,False,True
2,0.1679412424564361,0.2957657277584076,0.8327701091766357,chicago,3,True,False,True
4,0.1851267516613006,0.3062046766281128,0.8259745836257935,chicago,3,True,False,True
1,0.2065886408090591,0.3455840051174164,0.779759407043457,boston,4,True,False,True
2,0.2084568440914154,0.3416213989257812,0.7938574552536011,boston,4,True,False,True
3,0.2210794538259506,0.3513075113296509,0.7819046378135681,boston,4,True,False,True
1,1.5964043140411377,1.049180030822754,-0.8051828742027283,saopaulo,4,True,True,False
2,1.3160549402236938,0.944905400276184,-0.4173129796981811,saopaulo,4,True,True,False
3,1.0652155876159668,0.8411992192268372,-0.1023488938808441,saopaulo,4,True,True,False
1,0.2814981639385223,0.3745128214359283,0.6790420413017273,chicago,4,True,False,False
2,0.1913411021232605,0.318277359008789,0.8095712661743164,chicago,4,True,False,False
3,0.1849567145109176,0.3116789758205414,0.8143670558929443,chicago,4,True,False,False
1,0.7716640830039978,0.6802737712860107,0.2349505722522735,hongkong,2,False,True,False
3,0.802931010723114,0.6919907927513123,0.1979257464408874,hongkong,2,False,True,False
4,0.7995210886001587,0.6886143684387207,0.1812537461519241,hongkong,2,False,True,False
1,0.1824258416891098,0.3144008815288543,0.8009522557258606,london,3,False,False,True
2,0.1906976699829101,0.3248976469039917,0.799836277961731,london,3,False,False,True
4,0.2094248682260513,0.3374465703964233,0.7968127727508545,london,3,False,False,True
2,0.2211860865354538,0.3476850390434265,0.7632546424865723,saopaulo,1,False,False,False
3,0.2296828031539917,0.3565279245376587,0.762627363204956,saopaulo,1,False,False,False
4,0.2432306706905365,0.3684960901737213,0.7314411997795105,saopaulo,1,False,False,False
1,0.4943833947181701,0.5426540374755859,0.4726945161819458,boston,2,False,True,True
3,0.6818076968193054,0.622122049331665,0.3274619877338409,boston,2,False,True,True
4,0.6545068621635437,0.6049060225486755,0.3431153297424316,boston,2,False,True,True
random,0.2008624970912933,0.3334248960018158,0.7980217337608337,saopaulo,random,False,False,True
1,0.1650804281234741,0.2932695150375366,0.8122091293334961,chicago,2,True,False,True
3,0.167301520705223,0.2934755980968475,0.8320730924606323,chicago,2,True,False,True
