TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
random,0.1959533244371414,0.3346947431564331,0.80485600233078,boston,random,True,False,False
1,0.1916492879390716,0.3199100494384765,0.7812285423278809,chicago,3,False,False,False
2,0.1682196855545044,0.2974277138710022,0.8323857188224792,chicago,3,False,False,False
4,0.1908975839614868,0.3093618154525757,0.8212370276451111,chicago,3,False,False,False
2,0.1932418346405029,0.3248303532600403,0.7970555424690247,london,1,False,False,False
3,0.220118910074234,0.3444530069828033,0.7859842777252197,london,1,False,False,False
4,0.2255872637033462,0.3504156172275543,0.7812343239784241,london,1,False,False,False
1,0.7508766055107117,0.6790046095848083,0.2553599178791046,hongkong,4,False,True,True
2,0.7435562014579773,0.6746320128440857,0.2502748072147369,hongkong,4,False,True,True
3,0.766756534576416,0.6828355193138123,0.2339914590120315,hongkong,4,False,True,True
2,0.1971129328012466,0.3326617777347564,0.7932325005531311,london,1,True,False,False
3,0.2260189205408096,0.3546853959560394,0.7802333235740662,london,1,True,False,False
4,0.2362797409296035,0.3637743592262268,0.7706347703933716,london,1,True,False,False
1,0.4272054135799408,0.4904068410396576,0.5253679156303406,london,4,False,True,True
2,0.4957908689975738,0.5363425016403198,0.4734367728233337,london,4,False,True,True
3,0.5960278511047363,0.5860968232154846,0.420464813709259,london,4,False,True,True
2,0.7376463413238525,0.679440975189209,0.2624702453613281,chicago,1,True,True,False
3,0.7632508873939514,0.692410945892334,0.2334228157997131,chicago,1,True,True,False
4,0.989568531513214,0.7833766937255859,0.0854980945587158,chicago,1,True,True,False
random,1.0225600004196167,0.8357285857200623,-0.0186387971043586,boston,random,True,True,False
random,0.1778574287891388,0.3112857341766357,0.8245264887809753,london,random,False,False,True
2,0.4913248419761657,0.5102408528327942,0.4787570536136627,london,1,False,True,True
3,0.6301620602607727,0.578874945640564,0.3872064054012298,london,1,False,True,True
4,0.705639123916626,0.6124447584152222,0.3267070055007934,london,1,False,True,True
1,0.193642571568489,0.3236477673053741,0.7873507738113403,saopaulo,2,True,False,True
3,0.2074221968650818,0.3399153649806976,0.7856132388114929,saopaulo,2,True,False,True
4,0.2141774147748947,0.3480501770973205,0.7631107568740845,saopaulo,2,True,False,True
1,0.1887978166341781,0.3189961910247803,0.7941119074821472,london,4,False,False,False
2,0.1906723380088806,0.3259971439838409,0.7998064160346985,london,4,False,False,False
3,0.2078246772289276,0.3380953073501587,0.7979376316070557,london,4,False,False,False
2,1.2383896112442017,0.902118682861328,-0.2245195209980011,boston,1,True,True,False
