TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
random,0.1911605447530746,0.3340571224689483,0.8095996379852295,boston,random,True,False,False
1,0.2151279598474502,0.3354490399360657,0.7546500563621521,chicago,3,False,False,False
2,0.1756753623485565,0.3022599816322326,0.825036346912384,chicago,3,False,False,False
4,0.1962309181690216,0.3131481409072876,0.8159043192863464,chicago,3,False,False,False
2,0.1758624762296676,0.3099396824836731,0.8152961730957031,london,1,False,False,False
3,0.202650710940361,0.3309903442859649,0.8029670715332031,london,1,False,False,False
4,0.2104838341474533,0.3375081419944763,0.7959505915641785,london,1,False,False,False
1,0.7907857298851013,0.6851030588150024,0.2157764732837677,hongkong,4,False,True,True
2,0.7893545031547546,0.6828885674476624,0.2040167152881622,hongkong,4,False,True,True
3,0.8120678663253784,0.6917629241943359,0.1888491064310073,hongkong,4,False,True,True
2,0.1819383203983307,0.3142313957214355,0.809132993221283,london,1,True,False,False
3,0.2127608954906463,0.3383078575134277,0.793100118637085,london,1,True,False,False
4,0.2190618216991424,0.3455112874507904,0.7875156402587891,london,1,True,False,False
1,0.4669269025325775,0.5095718502998352,0.4807066321372986,london,4,False,True,True
2,0.5738241672515869,0.5619727969169617,0.3904269933700561,london,4,False,True,True
3,0.632202684879303,0.5984247326850891,0.3854179680347442,london,4,False,True,True
2,0.7378780245780945,0.6811656951904297,0.2623103260993957,chicago,1,True,True,False
3,0.7574559450149536,0.6917867660522461,0.2391032129526138,chicago,1,True,True,False
4,0.9587640166282654,0.7750039100646973,0.1133702993392944,chicago,1,True,True,False
random,1.0104501247406006,0.8293116092681885,-0.0065724849700927,boston,random,True,True,False
random,0.1637531369924545,0.2936904430389404,0.8384524583816528,london,random,False,False,True
2,0.502752423286438,0.5115103721618652,0.4666634202003479,london,1,False,True,True
3,0.6519391536712646,0.5843065977096558,0.3661937415599823,london,1,False,True,True
4,0.7251294851303101,0.6163578033447266,0.3078085482120514,london,1,False,True,True
1,0.1888932287693023,0.3207751810550689,0.7922636866569519,saopaulo,2,True,False,True
3,0.2030655294656753,0.3369323909282684,0.79006028175354,saopaulo,2,True,False,True
4,0.2122458070516586,0.3471227586269378,0.7650421857833862,saopaulo,2,True,False,True
1,0.1693443804979324,0.2960810959339142,0.8151001930236816,london,4,False,False,False
